id,email,name,address,grade,tnp,twp,tt,nf,fo,mo,fq,mq,arr,attendance %,ias,fee_late,teacher_rating,previous_visits,assignment,assignment_due_date,assignment_submitted,summary_self_check_in,ge
1011,sandeep2@school.com,Sandeep Gurung,Birgunj,10,38,3,0.97,1,Service,Retired,12,10,Y,99.02,75,Overdue,4,1,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","17/02/2023 17:59:59,08/03/2023 03:59:59,29/03/2023 15:59:59,19/04/2023 03:59:59","Honestly, I'm disinterested because Mathematics is where I'm struggling the most.",M
1012,nischal2@school.com,Nischal Tamang,Biratnagar,9,35,51,1.05,13,Service,Service,12,PG,Y,88.35,85,Paid,2,1,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","14/02/2023 05:59:59,10/03/2023 17:59:59,29/03/2023 19:59:59,21/04/2023 13:59:59","Currently, I'm unmotivated because Nepali is where I'm struggling the most.",F
1013,aayush@school.com,Aayush Magar,Butwal,10,10,72,0.29,16,Service,Business,PG,IL,Y,73.3,53,Overdue,3,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","17/02/2023 17:59:59,04/03/2023 18:59:59,02/04/2023 03:59:59,20/04/2023 05:59:59","Lately, I've been anxious because Physics is hard to keep up with.",M
1014,sushma@school.com,Sushma Lamichhane,Birgunj,12,3,50,1.9,19,Business,Housewife,12,PG,N,96.57,20,Paid,1,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","17/02/2023 08:59:59,09/03/2023 08:59:59,29/03/2023 00:59:59,18/04/2023 01:59:59","To be fair, I'm worried because Chemistry is stressing me out.",F
1015,bipin2@school.com,Bipin Tamang,Lalitpur,12,17,76,0.37,5,Service,Housewife,UM,PG,Y,94.16,84,Paid,1,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","11/02/2023 23:59:59,12/03/2023 00:59:59,31/03/2023 23:59:59,23/04/2023 18:59:59","Honestly, I'm tense because Physics is where I'm struggling the most.",F
1016,swastima2@school.com,Swastima Baniya,Ghorahi,9,13,22,1.23,17,Service,Housewife,PG,12,Y,74.46,91,Paid,5,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","16/02/2023 07:59:59,12/03/2023 12:59:59,26/03/2023 16:59:59,19/04/2023 08:59:59","Honestly, I'm lonely because Biology is confusing for me.",F
1017,keki2@school.com,Keki Malla,Dhangadhi,12,85,61,1.6,15,Retired,Business,IL,12,Y,55.84,41,Paid,5,10,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","24/02/2023 16:59:59,23/03/2023 10:59:59,05/04/2023 00:59:59,27/04/2023 14:59:59","Honestly, I'm worried because Chemistry is taking up all my energy.",F
1018,aayush2@school.com,Aayush Shah,Hetauda,12,96,91,0.6,11,Service,Others,UM,10,N,96.24,96,Paid,2,1,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","13/02/2023 02:59:59,13/03/2023 15:59:59,02/04/2023 09:59:59,23/04/2023 09:59:59","I'm satisfied, and Chemistry is better than I thought.",M
1019,sushma2@school.com,Sushma Pathak,Dharan,9,68,80,1.91,18,Other,Housewife,10,10,N,81.2,11,Paid,1,1,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","15/02/2023 03:59:59,12/03/2023 09:59:59,26/03/2023 17:59:59,17/04/2023 11:59:59","Lately, I've been lonely because Physics is stressing me out.",M
1020,shrinkhala@school.com,Shrinkhala Raut,Birgunj,12,100,86,1.36,7,Service,Business,IL,UM,N,92.19,90,Paid,4,3,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","18/02/2023 20:59:59,12/03/2023 14:59:59,28/03/2023 15:59:59,18/04/2023 15:59:59","Currently confident, and Biology is really interesting.",F
1021,aayush3@school.com,Aayush Magar,Lalitpur,10,56,90,1.29,5,Retired,Service,10,UM,Y,84,49,Paid,2,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","16/02/2023 22:59:59,04/03/2023 12:59:59,01/04/2023 01:59:59,20/04/2023 16:59:59","Currently, I'm tense because Physics is where I'm struggling the most.",M
1022,shilpa@school.com,Shilpa Baniya,Butwal,9,97,97,1.21,8,Other,Service,UM,IL,N,93.78,80,Paid,4,1,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","17/02/2023 19:59:59,12/03/2023 16:59:59,26/03/2023 20:59:59,19/04/2023 13:59:59","Doing a bit tired, and Physics is just another task.",F
1023,swastima3@school.com,Swastima Raut,Biratnagar,11,100,86,0.47,18,Service,Housewife,10,10,N,96.7,93,Paid,5,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","17/02/2023 14:59:59,07/03/2023 02:59:59,01/04/2023 15:59:59,24/04/2023 04:59:59","I feel determined, and Biology is going well.",M
1024,sushma3@school.com,Sushma Raut,Kathmandu,12,93,100,0.94,16,Farmer,Housewife,Degree,10,N,95.46,82,Paid,2,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","18/02/2023 17:59:59,13/03/2023 11:59:59,01/04/2023 05:59:59,21/04/2023 18:59:59","Doing a bit tired, and Mathematics is part of my routine.",F
1025,swastima4@school.com,Swastima Lamichhane,Butwal,11,94,90,0.63,5,Farmer,Retired,Degree,IL,N,86.23,81,Paid,1,1,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","15/02/2023 22:59:59,08/03/2023 18:59:59,02/04/2023 15:59:59,22/04/2023 13:59:59","Doing alright, and Biology is part of my routine.",M
1026,keki3@school.com,Keki Raut,Pokhara,11,88,97,0.31,14,Other,Service,PG,UM,N,93.05,82,Paid,3,3,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","17/02/2023 06:59:59,09/03/2023 02:59:59,30/03/2023 16:59:59,20/04/2023 09:59:59","I'm feeling balanced, and Biology is moving along.",F
1027,shilpa2@school.com,Shilpa Karki,Bharatpur,12,88,93,0.19,10,Business,Service,IL,12,N,91.32,92,Paid,2,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","12/02/2023 02:59:59,10/03/2023 20:59:59,31/03/2023 01:59:59,17/04/2023 00:59:59","I feel proud, and Biology is really interesting.",F
1028,arpan@school.com,Arpan Magar,Lalitpur,12,14,45,1.56,17,Retired,Retired,12,10,N,80.36,60,Paid,5,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","16/02/2023 21:59:59,07/03/2023 08:59:59,27/03/2023 10:59:59,17/04/2023 04:59:59","It's a normal, and Biology is following the plan.",F
1029,sandeep3@school.com,Sandeep Pathak,Butwal,11,27,89,0.57,17,Farmer,Others,Degree,Degree,N,92.04,30,Paid,3,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","13/02/2023 06:59:59,09/03/2023 13:59:59,30/03/2023 21:59:59,23/04/2023 08:59:59","Honestly, I'm tense because Biology is taking up all my energy.",M
1030,sushma4@school.com,Sushma Shrestha,Lalitpur,11,10,64,0.34,12,Business,Housewife,10,IL,N,85.25,50,Paid,4,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","14/02/2023 17:59:59,11/03/2023 00:59:59,04/04/2023 03:59:59,23/04/2023 23:59:59","It's a a bit tired, and English is moving along.",F
1031,swastima5@school.com,Swastima Baniya,Butwal,12,80,100,0.8,7,Service,Retired,PG,10,N,85.89,99,Paid,2,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","13/02/2023 15:59:59,10/03/2023 06:59:59,29/03/2023 19:59:59,17/04/2023 14:59:59","Feeling optimistic, and Mathematics is helping me learn a lot.",M
1032,barsha@school.com,Barsha Pathak,Bharatpur,12,4,55,1.14,13,Other,Housewife,10,Degree,Y,91.34,9,Paid,4,4,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","16/02/2023 13:59:59,09/03/2023 10:59:59,29/03/2023 20:59:59,23/04/2023 00:59:59","Honestly, I'm confused because Chemistry is taking up all my energy.",F
1033,sunil@school.com,Sunil Rai,Biratnagar,9,82,91,1.28,6,Service,Business,PG,Degree,N,86.49,96,Paid,3,3,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","11/02/2023 08:59:59,13/03/2023 12:59:59,30/03/2023 11:59:59,15/04/2023 09:59:59","I'm energized, and Physics is better than I thought.",M
1034,rajesh2@school.com,Rajesh Paudel,Lalitpur,11,49,79,0.48,9,Service,Others,10,Degree,Y,92.06,35,Paid,1,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","16/02/2023 01:59:59,11/03/2023 13:59:59,29/03/2023 17:59:59,21/04/2023 07:59:59","Lately, I've been lonely because Physics is confusing for me.",M
1035,sunil2@school.com,Sunil Gurung,Bharatpur,9,92,80,1.34,6,Other,Retired,IL,10,N,87.81,42,Overdue,4,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","14/02/2023 17:59:59,09/03/2023 22:59:59,27/03/2023 05:59:59,18/04/2023 04:59:59","Currently, I'm distracted because Physics is where I'm struggling the most.",F
1036,anmol@school.com,Anmol Adhikari,Lalitpur,10,94,92,1.72,1,Farmer,Retired,12,IL,N,96.51,92,Paid,2,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","19/02/2023 01:59:59,04/03/2023 11:59:59,01/04/2023 14:59:59,20/04/2023 22:59:59","I'm motivated, and Physics is better than I thought.",M
1037,sunil3@school.com,Sunil Adhikari,Pokhara,12,85,97,0.49,14,Farmer,Housewife,Degree,UM,N,86.91,87,Paid,1,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","12/02/2023 15:59:59,11/03/2023 12:59:59,30/03/2023 17:59:59,17/04/2023 01:59:59","I'm optimistic, and Biology is better than I thought.",M
1038,nischal3@school.com,Nischal Khadka,Janakpur,9,81,53,1.02,19,Retired,Service,12,UM,Y,45.17,15,Paid,5,9,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","23/02/2023 01:59:59,24/03/2023 02:59:59,07/04/2023 11:59:59,30/04/2023 14:59:59","Honestly, I'm irritable because English is hard to keep up with.",F
1039,priyanka@school.com,Priyanka Hamal,Butwal,11,68,50,1.54,18,Service,Retired,12,Degree,Y,89.37,69,Paid,5,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","14/02/2023 07:59:59,12/03/2023 00:59:59,04/04/2023 06:59:59,21/04/2023 02:59:59","To be fair, I'm overwhelmed because Biology is where I'm struggling the most.",F
1040,dayahang2@school.com,Dayahang Magar,Dharan,11,89,54,0.58,18,Other,Retired,Degree,Degree,Y,43.84,16,Paid,3,6,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","28/02/2023 00:59:59,23/03/2023 20:59:59,10/04/2023 14:59:59,07/05/2023 16:59:59","Lately, I've been distracted because Biology is hard to keep up with.",M
1041,shrinkhala2@school.com,Shrinkhala Magar,Dharan,10,34,16,0.15,3,Business,Others,Degree,UM,Y,70.75,4,Overdue,1,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","14/02/2023 22:59:59,08/03/2023 20:59:59,01/04/2023 01:59:59,20/04/2023 10:59:59","Honestly, I'm low because Chemistry is confusing for me.",F
1042,arpan2@school.com,Arpan Tamang,Pokhara,10,15,30,1.05,8,Business,Business,IL,12,Y,94.68,10,Paid,3,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","17/02/2023 14:59:59,07/03/2023 08:59:59,28/03/2023 06:59:59,16/04/2023 11:59:59","To be fair, I'm disinterested because Physics is stressing me out.",F
1043,anmol2@school.com,Anmol Malla,Pokhara,10,5,34,0.94,4,Business,Retired,12,PG,Y,77.5,46,Paid,1,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","13/02/2023 08:59:59,09/03/2023 02:59:59,27/03/2023 09:59:59,17/04/2023 03:59:59",I'm feeling confused because Chemistry is where I'm struggling the most.,M
1044,saugat3@school.com,Saugat Baniya,Kathmandu,12,100,91,1.17,13,Retired,Retired,UM,Degree,N,92.75,80,Paid,3,2,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","12/02/2023 07:59:59,10/03/2023 07:59:59,02/04/2023 09:59:59,20/04/2023 16:59:59","Doing fine, and Chemistry is moving along.",M
1045,swastima6@school.com,Swastima Basnet,Dharan,9,41,37,1.87,10,Other,Service,PG,PG,Y,60.5,2,Paid,5,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","11/02/2023 08:59:59,12/03/2023 12:59:59,31/03/2023 22:59:59,15/04/2023 10:59:59","To be fair, I'm frustrated because Physics is too much right now.",F
1046,anmol3@school.com,Anmol Shrestha,Ghorahi,9,80,98,1.14,19,Service,Service,12,UM,N,90.52,99,Paid,5,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","11/02/2023 10:59:59,14/03/2023 23:59:59,28/03/2023 18:59:59,21/04/2023 13:59:59","I feel happy, and English is manageable.",M
1047,swastima7@school.com,Swastima Tamang,Dharan,12,33,56,1.38,16,Other,Service,IL,UM,Y,62.98,76,Paid,5,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","15/02/2023 22:59:59,11/03/2023 00:59:59,27/03/2023 05:59:59,17/04/2023 12:59:59","Honestly, I'm exhausted because Physics is stressing me out.",F
1048,nischal4@school.com,Nischal Karki,Janakpur,9,86,91,0.45,10,Service,Business,12,PG,N,90.78,86,Paid,5,3,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","15/02/2023 13:59:59,12/03/2023 21:59:59,28/03/2023 04:59:59,16/04/2023 18:59:59","I'm confident, and Nepali is better than I thought.",F
