id,name,address,grade,tnp,twp,tt,nf,fo,mo,fq,mq,arr,attendance %,ias,fee_late,teacher_rating,previous_visits,assignment,assignment_due_date,assignment_submitted,summary_self_check_in,ge,email,phone
1049,Dayahang Adhikari,Kathmandu,10,5,94,1.67,1,Business,Service,PG,IL,Y,81.32,57,"Paid,Paid,Paid",1,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","17/02/2023 15:59:59,06/03/2023 03:59:59,28/03/2023 19:59:59,15/04/2023 20:59:59","Currently, I'm tense because Physics is too much right now.",M,dayahang.adhikari1049@school.edu,555-2049
1318,Sushma Raut,Dhangadhi,12,14,68,1.95,9,Retired,Others,12,PG,N,77.2,57,"Paid,Paid,Paid",2,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","17/02/2023 03:59:59,10/03/2023 15:59:59,31/03/2023 14:59:59,23/04/2023 02:59:59","It's a doing as usual, and Physics is following the plan.",M,sushma.raut1318@school.edu,555-2318
1406,Swastima Paudel,Hetauda,9,95,63,1.06,2,Retired,Others,12,Degree,Y,40.5,31,"Overdue,Paid,Overdue",2,10,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","19/02/2023 14:59:59,19/03/2023 19:59:59,05/04/2023 18:59:59,23/04/2023 06:59:59","Currently, I'm hopeless because Physics is causing me some anxiety.",F,swastima.paudel1406@school.edu,555-2406
1230,Swastima KC,Lalitpur,9,11,46,0.19,8,Retired,Service,10,12,N,70.03,67,"Paid,Paid,Paid",3,3,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","13/02/2023 06:59:59,13/03/2023 05:59:59,30/03/2023 11:59:59,19/04/2023 09:59:59","Mostly normal, and Biology is moving along.",M,swastima.kc1230@school.edu,555-2230
1489,Shrinkhala Shrestha,Janakpur,10,98,100,0.98,3,Farmer,Service,12,IL,N,94.21,92,"Paid,Paid,Paid",3,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","16/02/2023 20:59:59,08/03/2023 02:59:59,01/04/2023 02:59:59,16/04/2023 04:59:59","Feeling energized, and Chemistry is my favorite part of the week.",F,shrinkhala.shrestha1489@school.edu,555-2489
1246,Barsha Khatiwada,Dhangadhi,11,82,97,0.48,1,Service,Business,PG,IL,N,95.17,89,"Paid,Paid,Paid",2,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","17/02/2023 00:59:59,06/03/2023 21:59:59,31/03/2023 11:59:59,25/04/2023 11:59:59","I feel excited, and Biology is manageable.",M,barsha.khatiwada1246@school.edu,555-2246
1237,Anmol Shah,Itahari,9,13,86,0.47,17,Retired,Retired,PG,IL,Y,68.97,62,"Paid,Paid,Overdue",2,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","12/02/2023 11:59:59,12/03/2023 01:59:59,27/03/2023 14:59:59,17/04/2023 11:59:59","To be fair, I'm isolated because English is too much right now.",M,anmol.shah1237@school.edu,555-2237
1327,Dayahang Hamal,Kathmandu,9,57,44,1.68,1,Business,Service,PG,IL,Y,65.75,36,"Paid,Paid,Paid",2,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","11/02/2023 07:59:59,12/03/2023 07:59:59,28/03/2023 13:59:59,21/04/2023 11:59:59","Lately, I've been unmotivated because Nepali is taking up all my energy.",M,dayahang.hamal1327@school.edu,555-2327
1258,Saugat Shah,Bharatpur,10,78,43,1.29,13,Business,Business,UM,IL,N,79.23,69,"Paid,Paid,Paid",4,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","19/02/2023 04:59:59,06/03/2023 20:59:59,01/04/2023 18:59:59,17/04/2023 17:59:59","Doing normal, and Mathematics is part of my routine.",M,saugat.shah1258@school.edu,555-2258
1418,Paras Raut,Pokhara,10,89,62,0.3,13,Business,Others,UM,Degree,Y,53.68,18,"Paid,Paid,Overdue",2,7,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","23/02/2023 05:59:59,12/03/2023 08:59:59,10/04/2023 20:59:59,24/04/2023 20:59:59",I'm feeling isolated because Physics is hard to keep up with.,F,paras.raut1418@school.edu,555-2418
1125,Namrata Shrestha,Hetauda,10,21,53,1.5,12,Business,Retired,IL,PG,N,97.27,94,"Paid,Paid,Paid",3,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","14/02/2023 08:59:59,08/03/2023 02:59:59,01/04/2023 18:59:59,16/04/2023 15:59:59","I'm happy, and Chemistry is my favorite part of the week.",M,namrata.shrestha1125@school.edu,555-2125
1154,Keki Adhikari,Itahari,10,26,55,1.56,14,Other,Others,UM,UM,N,97.9,76,"Paid,Paid,Paid",2,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","15/02/2023 20:59:59,08/03/2023 03:59:59,31/03/2023 06:59:59,20/04/2023 09:59:59","Mostly neutral, and Mathematics is part of my routine.",F,keki.adhikari1154@school.edu,555-2154
1093,Keki Lamichhane,Pokhara,12,1,15,1.53,18,Business,Housewife,Degree,PG,Y,72.15,6,"Paid,Paid,Paid",2,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","18/02/2023 03:59:59,10/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 15:59:59","Currently, I'm confused because Physics is where I'm struggling the most.",F,keki.lamichhane1093@school.edu,555-2093
1389,Sandeep Magar,Birgunj,10,38,62,1.33,18,Business,Service,IL,10,Y,72.64,63,"Paid,Paid,Paid",5,1,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","15/02/2023 07:59:59,10/03/2023 10:59:59,27/03/2023 05:59:59,21/04/2023 00:59:59","Currently, I'm distracted because Physics is causing me some anxiety.",F,sandeep.magar1389@school.edu,555-2389
1468,Rekha Lamichhane,Hetauda,11,91,94,0.37,14,Business,Retired,Degree,IL,N,95.86,80,"Paid,Paid,Paid",1,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","11/02/2023 08:59:59,06/03/2023 21:59:59,31/03/2023 20:59:59,23/04/2023 21:59:59","Things are steady, and Physics is staying the same.",M,rekha.lamichhane1468@school.edu,555-2468
1035,Sunil Gurung,Bharatpur,9,92,80,1.34,6,Other,Retired,IL,10,N,87.81,42,"Paid,Paid,Paid",4,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","14/02/2023 17:59:59,09/03/2023 22:59:59,27/03/2023 05:59:59,18/04/2023 04:59:59","Currently, I'm distracted because Physics is where I'm struggling the most.",F,sunil.gurung1035@school.edu,555-2035
1134,Shrinkhala Baniya,Hetauda,9,96,48,1.82,15,Farmer,Service,10,12,N,90.03,95,"Paid,Paid,Paid",5,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","14/02/2023 02:59:59,14/03/2023 05:59:59,29/03/2023 22:59:59,19/04/2023 15:59:59","I'm resilient, and Nepali is better than I thought.",F,shrinkhala.baniya1134@school.edu,555-2134
1392,Paras Baniya,Dharan,12,9,46,1.98,14,Service,Others,12,12,Y,71.17,24,"Overdue,Paid,Overdue",1,2,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","18/02/2023 04:59:59,10/03/2023 18:59:59,31/03/2023 10:59:59,19/04/2023 01:59:59","To be fair, I'm lonely because Chemistry is taking up all my energy.",F,paras.baniya1392@school.edu,555-2392
1492,Shilpa KC,Itahari,12,93,67,1.37,8,Farmer,Retired,UM,12,Y,52.27,41,"Overdue,Paid,Paid",3,4,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","24/02/2023 23:59:59,21/03/2023 01:59:59,08/04/2023 20:59:59,04/05/2023 14:59:59","Currently, I'm burnt out because Mathematics is confusing for me.",M,shilpa.kc1492@school.edu,555-2492
1466,Sunil KC,Biratnagar,9,44,24,0.83,17,Service,Housewife,UM,10,Y,94.18,17,"Paid,Paid,Overdue",2,1,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","12/02/2023 02:59:59,14/03/2023 22:59:59,29/03/2023 01:59:59,19/04/2023 17:59:59","Currently, I'm hopeless because English is hard to keep up with.",F,sunil.kc1466@school.edu,555-2466
1483,Arpan Thapa,Lalitpur,11,82,67,1.93,12,Business,Others,PG,10,Y,61.02,16,"Paid,Overdue,Paid",5,10,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","27/02/2023 12:59:59,22/03/2023 20:59:59,13/04/2023 17:59:59,01/05/2023 14:59:59","Lately, I've been confused because English is where I'm struggling the most.",M,arpan.thapa1483@school.edu,555-2483
1071,Barsha Paudel,Bharatpur,10,52,43,1.11,10,Other,Others,10,UM,N,60.8,5,"Paid,Paid,Paid",1,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","17/02/2023 20:59:59,06/03/2023 15:59:59,27/03/2023 05:59:59,18/04/2023 06:59:59",I'm feeling anxious because Chemistry is causing me some anxiety.,F,barsha.paudel1071@school.edu,555-2071
1210,Rajesh Baniya,Itahari,11,97,93,0.26,9,Service,Retired,12,IL,N,90.12,98,"Paid,Paid,Paid",2,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","17/02/2023 20:59:59,08/03/2023 01:59:59,04/04/2023 16:59:59,24/04/2023 18:59:59","Everything is great, especially since calm, and Biology is my favorite part of the week.",F,rajesh.baniya1210@school.edu,555-2210
